,MSE,MSE,MSE,MSE,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,MAPE,MAPE,MAPE,MAPE,MSPE,MSPE,MSPE,MSPE,RSE,RSE,RSE,RSE,CORR,CORR,CORR,CORR,SMAPE,SMAPE,SMAPE,SMAPE,WAPE,WAPE,WAPE,WAPE,R2,R2,R2,R2
Variant,SWT_original,SWT_dual,FFT_original,FFT_dual,SWT_original,SWT_dual,FFT_original,FFT_dual,SWT_original,SWT_dual,FFT_original,FFT_dual,SWT_original,SWT_dual,FFT_original,FFT_dual,SWT_original,SWT_dual,FFT_original,FFT_dual,SWT_original,SWT_dual,FFT_original,FFT_dual,SWT_original,SWT_dual,FFT_original,FFT_dual,SWT_original,SWT_dual,FFT_original,FFT_dual,SWT_original,SWT_dual,FFT_original,FFT_dual,SWT_original,SWT_dual,FFT_original,FFT_dual
Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETTh1,0.4512585699558258,0.44645217061042786,0.45709124207496643,0.4488292932510376,0.44616246223449707,0.4436003565788269,0.449468731880188,0.444854199886322,0.6717578172683716,0.6681707501411438,0.6760852336883545,0.6699472069740295,0.7282772064208984,0.7237409949302673,0.731739342212677,0.7250699400901794,42734.98046875,41538.265625,40936.01171875,41021.8125,0.6380673050880432,0.6346601843833923,0.6421777009963989,0.6363475322723389,25.48047637939453,25.52732276916504,25.51835823059082,25.530532836914062,0.819637656211853,0.8185407519340515,0.8265496492385864,0.8207985162734985,0.5605157017707825,0.5572969317436218,0.5646694302558899,0.5588721036911011,0.5928701162338257,0.5972064733505249,0.5876078009605408,0.5950618386268616
ETTm1,0.3497169315814972,0.3582502007484436,0.36303094029426575,0.3570323586463928,0.3790847957134247,0.38475751876831055,0.3828733563423157,0.38566485047340393,0.5913686752319336,0.5985400676727295,0.6025204658508301,0.5975218415260315,0.6651905179023743,0.6664301156997681,0.6586071848869324,0.6761166453361511,376.1813049316406,373.6508483886719,350.883056640625,399.8265686035156,0.5627129673957825,0.5695368051528931,0.5733243823051453,0.5685679316520691,50.939266204833984,50.7982063293457,50.59762191772461,51.14186477661133,0.7332155704498291,0.7467729449272156,0.7408794164657593,0.7404695749282837,0.47908884286880493,0.48625802993774414,0.4838768541812897,0.4874047338962555,0.6833541393280029,0.6756278276443481,0.671299159526825,0.6767305135726929
PEMS03,1153.876220703125,1151.8402099609375,1525.211181640625,1859.61083984375,20.778837203979492,20.83568572998047,24.088211059570312,26.43599510192871,33.968753814697266,33.93877029418945,39.053951263427734,43.123207092285156,0.22218431532382965,0.22558340430259705,0.24619393050670624,0.2792358696460724,3204133158912.0,3459108831232.0,4319464390656.0,6013111500800.0,0.24012652039527893,0.23991459608078003,0.27607402205467224,0.30483973026275635,14.960922241210938,14.936614990234375,15.098864555358887,14.884839057922363,0.24377943575382233,0.24786384403705597,0.26514318585395813,0.28120240569114685,0.11988266557455063,0.12021064758300781,0.13897596299648285,0.15252141654491425,0.9423392415046692,0.9424409866333008,0.9237831234931946,0.9070727229118347
Solar,0.17102834582328796,0.17745088040828705,0.1892400085926056,0.22868789732456207,0.23273395001888275,0.2435130625963211,0.2441246658563614,0.30181261897087097,0.41355574131011963,0.4212491810321808,0.43501725792884827,0.47821322083473206,0.34629496932029724,0.3557421565055847,0.3575620651245117,0.4330199956893921,30449.12109375,38112.84375,34520.28515625,53912.47265625,0.48024317622184753,0.48917722702026367,0.5051654577255249,0.5553269982337952,55.29771423339844,56.34867858886719,56.19828414916992,56.57916259765625,0.3962414860725403,0.4050504267215729,0.4086696207523346,0.5034236311912537,0.2969280779361725,0.3106803596019745,0.3114606440067291,0.3850604295730591,0.7693665027618408,0.7607056498527527,0.7448078393936157,0.6916119456291199
electricity,0.20211218297481537,0.19351458549499512,0.2033243179321289,0.1937391757965088,0.28588244318962097,0.287238210439682,0.2874564230442047,0.2873952388763428,0.44956889748573303,0.4399029314517975,0.45091497898101807,0.4401581287384033,0.505098283290863,0.5126646161079407,0.5057726502418518,0.5119025707244873,644464.125,697216.5625,646458.0,616799.75,0.44694051146507263,0.43733108043670654,0.4482787549495697,0.437584787607193,45.30855178833008,45.6602668762207,45.223140716552734,45.623111724853516,0.5454363226890564,0.5503530502319336,0.5505442023277283,0.5514097213745117,0.3445472717285156,0.3461812734603882,0.3464442491531372,0.34637054800987244,0.8002442121505737,0.808741569519043,0.7990461587905884,0.8085196018218994
smartbuilding,0.5691291093826294,0.5622133016586304,0.5700733661651611,0.5632255673408508,0.5018795132637024,0.49791979789733887,0.5030419230461121,0.4987516701221466,0.7544064521789551,0.7498088479042053,0.7550320029258728,0.7504835724830627,0.7025865316390991,0.6989277005195618,0.7016569972038269,0.6986121535301208,937.9104614257812,995.6260986328125,939.7139892578125,987.5512084960938,0.6615884304046631,0.6575564742088318,0.6621370315551758,0.6581481695175171,17.35667610168457,17.51072883605957,17.252363204956055,17.469568252563477,0.8591585755348206,0.8555911779403687,0.8611859679222107,0.8566510677337646,0.6304082274436951,0.6254344582557678,0.631868302822113,0.6264793872833252,0.5623007416725159,0.5676194429397583,0.5615745782852173,0.5668410062789917
traffic,0.5777391195297241,0.5333982706069946,0.6019207239151001,0.561251699924469,0.3624729812145233,0.3546680510044098,0.37675222754478455,0.3634278476238251,0.7600915431976318,0.7303411960601807,0.7758355140686035,0.7491673231124878,0.5649739503860474,0.5782727003097534,0.5805752277374268,0.5867050290107727,1731264.75,936825.8125,1141379.75,697879.0625,0.6291897296905518,0.6045629978179932,0.6422223448753357,0.6201468706130981,29.748315811157227,29.32329559326172,29.987863540649414,29.185546875,0.6103925108909607,0.6147531867027283,0.6504499912261963,0.6367350220680237,0.4534264802932739,0.443663090467453,0.4712887406349182,0.45462092757225037,0.6041203141212463,0.6345036029815674,0.5875505208969116,0.6154178380966187
weather,0.1929250806570053,0.19242699444293976,0.19769056141376495,0.19161638617515564,0.2339213639497757,0.2324676811695099,0.23812930285930634,0.23404249548912048,0.43923237919807434,0.4386650025844574,0.44462406635284424,0.4377400875091553,0.5241678953170776,0.5220365524291992,0.5272355675697327,0.5228777527809143,24991708.0,23546266.0,24911876.0,21311144.0,0.5787623524665833,0.5780147910118103,0.5858668088912964,0.5767959952354431,42.92597579956055,43.0474967956543,42.81975173950195,43.09096145629883,0.5739471912384033,0.5711352229118347,0.5795612931251526,0.5749419331550598,0.3852938413619995,0.3828994929790497,0.3922247886657715,0.38549336791038513,0.6650341749191284,0.6658989191055298,0.6567600965499878,0.6673063635826111
