Date,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_AC2(kW),z4_AC3(kW),z4_AC4(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux),z1_Total(kW),z2_Total(kW),z3_Total(kW),z4_Total(kW),z5_Total(kW),Floor_Total(kW),Floor_Mean_Temp,Floor_Mean_Lux
2019-01-01 00:00:00,0.0,0.0,0.15666666666666668,19.85,72.43,1.0,0.0,0.01,0.08466666666666667,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06166666666666667,19.73,72.44,1.0,0.0,0.0,0.04016666666666667,19.93,72.36,0.0,0.15666666666666668,0.09466666666666668,0.30000000000000004,0.06166666666666667,0.04016666666666667,0.6531666666666668,22.162499999999998,51.75
2019-01-01 01:00:00,0.0,0.0,0.1995,19.85,72.43,1.0,0.0,0.01,0.078,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06266666666666668,19.73,72.44,1.0,0.0,0.0,0.03766666666666667,19.93,72.36,0.0,0.1995,0.08800000000000001,0.30000000000000004,0.06266666666666668,0.03766666666666667,0.6878333333333334,22.162499999999998,51.75
2019-01-01 02:00:00,0.0,0.0,0.14666666666666667,19.85,72.43,1.0,0.0,0.01,0.0605,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.07883333333333334,19.73,72.44,1.0,0.0,0.0,0.03816666666666667,19.93,72.36,0.0,0.14666666666666667,0.07050000000000001,0.30000000000000004,0.07883333333333334,0.03816666666666667,0.6341666666666668,22.162499999999998,51.75
2019-01-01 03:00:00,0.0,0.0,0.17183333333333334,19.85,72.43,1.0,0.0,0.01,0.059333333333333335,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.0615,19.73,72.44,1.0,0.0,0.0,0.0395,19.93,72.36,0.0,0.17183333333333334,0.06933333333333333,0.30000000000000004,0.0615,0.0395,0.6421666666666668,22.162499999999998,51.75
2019-01-01 04:00:00,0.0,0.0,0.18016666666666667,19.85,72.43,1.0,0.0,0.01,0.06733333333333333,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.0615,19.73,72.44,1.0,0.0,0.0,0.03883333333333334,19.93,72.36,0.0,0.18016666666666667,0.07733333333333334,0.30000000000000004,0.0615,0.03883333333333334,0.6578333333333334,22.162499999999998,51.75
2019-01-01 05:00:00,0.0,0.0,0.14400000000000002,19.85,72.43,1.0,0.0,0.01,0.08833333333333333,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06066666666666667,19.73,72.44,1.0,0.0,0.0,0.0385,19.93,72.36,0.0,0.14400000000000002,0.09833333333333334,0.30000000000000004,0.06066666666666667,0.0385,0.6415000000000002,22.162499999999998,51.75
2019-01-01 06:00:00,0.0,0.0,0.19,19.85,72.43,1.0,0.0,0.01,0.08283333333333333,19.96,70.75,1.0,0.02,0.2798333333333334,0.0,0.0,0.0,0.0,0.0,0.06016666666666667,19.73,72.44,1.0,0.0,0.0,0.03983333333333334,19.93,72.36,0.0,0.19,0.09283333333333334,0.29983333333333334,0.06016666666666667,0.03983333333333334,0.6826666666666668,22.162499999999998,51.75
2019-01-01 07:00:00,0.0,0.0,0.158,19.85,72.43,1.0,0.0,0.01,0.13666666666666666,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06083333333333333,19.73,72.44,1.0,0.0,0.0,0.04,19.93,72.36,0.0,0.158,0.14666666666666667,0.30000000000000004,0.06083333333333333,0.04,0.7055000000000001,22.162499999999998,51.75
2019-01-01 08:00:00,0.0,0.0,0.16233333333333333,19.85,72.43,1.0,0.0,0.01,0.134,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.06383333333333334,19.73,72.44,1.0,0.0,0.0,0.04033333333333333,19.93,72.36,0.0,0.16233333333333333,0.14400000000000002,0.30000000000000004,0.06383333333333334,0.04033333333333333,0.7105000000000001,22.162499999999998,51.75
2019-01-01 09:00:00,0.0,0.0,0.19783333333333333,19.85,72.43,1.0,0.0,0.01,0.11999999999999998,19.96,70.75,1.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.0805,19.73,72.44,1.0,0.0,0.0,0.04016666666666667,19.93,72.36,0.0,0.19783333333333333,0.13,0.30000000000000004,0.0805,0.04016666666666667,0.7485,22.162499999999998,51.75
